"Date","Sensex","Tata Consultancy Services","Bharti Airtel","Axis Bank","Maruti Suzuki India","HCL Technologies","UltraTech Cement","Power Grid Corporation of India","NTPC","IndusInd Bank","Bajaj Auto","JSW Steel","Wipro","Adani Enterprises"
2021-08-03,53823.359375,2904.84765625,549.7021484375,734.103149414062,6897.25341796875,851.039428710938,7673.7060546875,101.13452911377,95.5107269287109,984.82421875,3415.06640625,681.359313964844,273.655242919922,1439.06457519531
2021-08-04,54369.76953125,2895.3837890625,544.017517089844,749.113098144531,6806.82421875,852.18603515625,7578.32763671875,101.540367126465,95.5513381958008,983.329895019531,3418.81323242188,688.125,272.604675292969,1425.55139160156
2021-08-05,54492.83984375,2905.73266601562,567.419067382812,744.689697265625,6777.453125,868.603149414062,7487.05615234375,101.453384399414,94.6173629760742,962.359741210938,3406.76953125,702.531005859375,274.500183105469,1428.69299316406
2021-08-06,54277.71875,2927.84521484375,575.851318359375,737.035583496094,6850.470703125,860.046447753906,7359.7060546875,101.482376098633,95.5513381958008,992.296325683594,3434.15795898438,697.100036621094,273.175598144531,1532.20971679688
2021-08-09,54402.8515625,2938.68041992188,567.750732421875,750.852783203125,6830.60107421875,860.3330078125,7327.39208984375,102.29402923584,94.8203887939453,1005.26416015625,3439.28735351562,687.986999511719,272.513336181641,1489.22766113281
2021-08-10,54554.66015625,2948.27758789062,589.541809082031,756.618286132812,6753.2431640625,871.018737792969,7305.53955078125,100.033050537109,92.7899780273438,996.634948730469,3387.767578125,664.606140136719,275.710540771484,1443.40295410156
2021-08-11,54525.9296875,2954.73413085938,588.12060546875,756.320007324219,6774.8974609375,873.638916015625,7285.69189453125,102.091110229492,94.9828186035156,1003.81781005859,3325.4970703125,689.597839355469,274.477325439453,1433.13098144531
2021-08-12,54843.98046875,2966.58666992188,590.4892578125,752.642150878906,6761.53857421875,898.285400390625,7300.064453125,108.43920135498,96.6883697509766,998.177734375,3360.15600585938,689.091491699219,276.715301513672,1440.06176757812
2021-08-13,55437.2890625,3062.068359375,603.563842773438,755.276245117188,6751.025390625,916.83154296875,7297.7666015625,107.0478515625,96.0792541503906,987.3310546875,3413.86206054688,689.643920898438,281.122894287109,1432.63220214844
2021-08-16,55582.578125,3070.78149414062,600.437255859375,757.413513183594,6586.7607421875,919.533752441406,7184.39794921875,104.757888793945,96.5259323120117,982.124633789062,3344.0087890625,701.104187011719,280.460632324219,1426.79821777344
2021-08-17,55792.26953125,3142.1171875,593.378845214844,752.095458984375,6644.0556640625,934.477111816406,7245.310546875,106.207214355469,95.3077011108398,969.383605957031,3397.17944335938,685.179443359375,289.937927246094,1437.41906738281
2021-08-18,55629.48828125,3147.51245117188,590.015441894531,750.057556152344,6598.8662109375,928.417907714844,7423.552734375,104.583961486816,94.6173629760742,958.628845214844,3419.9287109375,679.426147460938,287.380157470703,1455.419921875
2021-08-20,55329.3203125,3146.58325195312,580.730651855469,735.494750976562,6604.845703125,914.743835449219,7323.92138671875,103.482475280762,92.7087631225586,948.891357421875,3346.328125,630.22509765625,283.109710693359,1423.55700683594
2021-08-23,55555.7890625,3215.92919921875,589.825988769531,731.568237304688,6584.78369140625,952.20458984375,7186.45166015625,101.859214782715,92.0590209960938,957.950622558594,3271.6572265625,629.764953613281,287.129028320312,1392.64147949219
2021-08-24,55958.98046875,3195.009765625,587.268005371094,741.856628417969,6567.08349609375,943.443176269531,7290.43408203125,102.583869934082,92.5869369506836,973.792114257812,3315.19262695312,636.530578613281,289.275634765625,1433.47985839844
2021-08-25,55944.2109375,3236.84716796875,580.256896972656,734.500732421875,6477.76611328125,945.367431640625,7218.76611328125,101.772254943848,92.5463256835938,974.809448242188,3291.14990234375,630.087036132812,288.270812988281,1470.72814941406
2021-08-26,55949.1015625,3247.06298828125,556.002502441406,741.707580566406,6374.79931640625,956.012145996094,7143.96875,100.409858703613,91.531135559082,970.158752441406,3293.603515625,618.672668457031,287.266021728516,1472.12438964844
2021-08-27,56124.71875,3290.4921875,562.729370117188,748.019775390625,6371.6640625,952.040771484375,7398.9130859375,101.076568603516,92.0590209960938,960.033752441406,3299.75903320312,623.505432128906,289.960754394531,1502.49108886719
2021-08-30,56889.76171875,3273.90795898438,587.741638183594,779.083740234375,6556.18505859375,952.286315917969,7530.27197265625,101.772254943848,93.3991012573242,973.74365234375,3313.0068359375,631.329711914062,288.750427246094,1511.96520996094
2021-08-31,57552.390625,3349.22338867188,628.81298828125,781.718078613281,6601.6630859375,967.393859863281,7659.529296875,101.830230712891,94.1706695556641,962.601318359375,3323.8017578125,632.8486328125,292.883941650391,1583.66906738281
2021-09-01,57338.2109375,3285.09692382812,631.181579589844,793.745910644531,6544.8505859375,953.6376953125,7591.28271484375,101.801231384277,93.683349609375,967.542724609375,3352.439453125,623.091247558594,293.249298095703,1560.78173828125
2021-09-02,57852.5390625,3394.68676757812,631.086791992188,798.3681640625,6550.30078125,960.597473144531,7777.29638671875,101.975173950195,94.6579513549805,978.781921386719,3320.18872070312,630.4091796875,297.588317871094,1565.369140625
2021-09-03,58129.94921875,3397.69458007812,623.696838378906,793.19921875,6620.03759765625,961.498107910156,7751.6806640625,101.743270874023,95.0640335083008,972.193420410156,3347.35424804688,635.932250976562,299.1640625,1561.23046875
2021-09-06,58296.91015625,3406.27465820312,620.096557617188,795.883117675781,6604.9423828125,982.337280273438,7772.89697265625,101.018592834473,94.5767440795898,961.244812011719,3371.9765625,631.697998046875,313.711212158203,1577.78527832031
